title,score,genres,consensus
Stronger,3.9,Drama,Ses on the power of its well-chosen ensemble to offer an emotionally resonant fact-based story that transcends inspirational drama clichés.
It,4.1,Drama | Horror | Mystery & Suspense,Plifies the horror in stephen king's classic story without losing touch with its heart.
American Made,3.8,Action & Adventure | Drama | Mystery & Suspense,Fast-and-loose attitude with its real-life story mirrors the cavalier -- and delightfully watchable -- energy tom cruise gives off in the leading role.
It Comes At Night,2.8,Drama | Horror,Kes lethally effective use of its bare-bones trappings while proving once again that what's left unseen can be just as horrifying as anything on the screen.
Step,4.2,Documentary,Lls an irresistibly crowd-pleasing story in a thoroughly absorbing way -- and while smartly incorporating a variety of timely themes.
Dina,4,Documentary,"Esents a clear-eyed and uncommonly detailed view of one couple's relationship, offering insights as broadly illuminating as they are compassionate."
Whose Streets?,3.7,Documentary,"Kes a close-up look at the civil unrest that erupted after a shocking act of violence in ferguson, missouri - and the decades of simmering tension leading up to it."
Trophy,3.9,Documentary,"Fers a thought-provoking look at big-game hunting that should challenge, trouble, and enrage viewers regardless of their personal perspective."
In This Corner of the World (Kono sekai no katasumi ni),4.4,Animation | Art House & International | Drama,"Fers a unique ground-level perspective on an oft-dramatized period in history, further distinguished by beautiful hand-drawn animation."
"I, Daniel Blake",4.1,Art House & International | Drama,Rks yet another well-told chapter in director ken loach's powerfully populist filmography.
After the Storm (Umi yori mo mada fukaku),3.8,Art House & International | Drama,"Osses cultural lines to offer timeless observations about parental responsibilities, personal bonds, and the capacity for forgiveness."
Kedi,4.1,Documentary," a cat fancier's dream, but this thoughtful, beautifully filmed look at istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion."
The Lego Batman Movie,3.9,Action & Adventure | Animation | Comedy | Kids & Family,Ntinues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.
BPM (Beats Per Minute) (120 battements par minute),4.1,Art House & International | Drama,Fers an engrossing look at a pivotal period in history that lingers long after the closing credits roll.
City of Ghosts,4.1,Documentary,"Kes a hard-hitting, ground-level look at atrocities in a part of the world that may seem foreign to many viewers, but whose impact will be no less devastating."
My Life as a Zucchini (Ma vie de courgette),4.1,Animation | Art House & International | Kids & Family,Silly title and adorable characters belie a sober story whose colorful visuals delight the senses even as it braves dark emotional depths.
"Faces Places (Visages, villages)",4.2,Art House & International | Documentary, a unique cross-generational portrait of life in rural france from the great agnès varda.
Mudbound,4,Drama,"Fers a well-acted, finely detailed snapshot of american history whose scenes of rural class struggle resonate far beyond their period setting."
The Disaster Artist,4.1,Comedy, a surprisingly poignant and charming movie-about-a-movie that explores the creative process with unexpected delicacy.
God's Own Country,4.2,Art House & International | Drama | Romance,Rks an outstanding directorial debut for francis lee.
Blade Runner 2049,4.1,Action & Adventure | Drama | Science Fiction & Fantasy,Epens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right.
The Salesman (Forushande),4,Art House & International | Drama | Mystery & Suspense,"Kes an ambitiously complex look at thought-provoking themes, and the well-acted results prove another consistently absorbing entry in writer-director asghar farhadi's distinguished filmography."
Hidden Figures,4.4,Drama,Lebrates overlooked -- and crucial -- contributions from a pivotal moment in american history.
I Am Not Your Negro,4.1,Documentary,Fers an incendiary snapshot of james baldwin's crucial observations on american race relations -- and a sobering reminder of how far we've yet to go.
War for the Planet of the Apes,4.1,Action & Adventure | Drama | Science Fiction & Fantasy,"Mbines breathtaking special effects and a powerful, poignant narrative to conclude this rebooted trilogy on a powerful -- and truly blockbuster -- note."
Spider-Man: Homecoming,4.2,Action & Adventure | Drama | Science Fiction & Fantasy,"Es whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling mcu without getting bogged down in franchise-building."
"Three Billboards Outside Ebbing, Missouri",4.2,Comedy | Drama,Ftly balances black comedy against searing drama -- and draws unforgettable performances from its veteran cast along the way.
Logan Lucky,3.7,Comedy,Rks a welcome end to steven soderbergh's retirement -- and proves he hasn't lost his ability to entertain.
Thor: Ragnarok,4.2,Action & Adventure | Drama | Science Fiction & Fantasy, a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the marvel cinematic universe.
Baby Driver,4.1,Action & Adventure | Drama,Ts the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.
The Florida Project,3.9,Drama,Fers a colorfully empathetic look at an underrepresented part of the population that proves absorbing even as it raises sobering questions about modern america.
The Shape of Water,3.8,Drama | Science Fiction & Fantasy | Romance,Nds guillermo del toro at his visually distinctive best -- and matched by an emotionally absorbing story brought to life by a stellar sally hawkins performance.
Star Wars: The Last Jedi,2.9,Action & Adventure | Drama | Science Fiction & Fantasy,Nors the saga's rich legacy while adding some surprising twists -- and delivering all the emotion-rich action fans could hope for.
Get Out,4.2,Comedy | Horror | Mystery & Suspense,Amlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.
The Big Sick,4.2,Comedy | Romance,Es its appealing leads and cross-cultural themes to prove the standard romcom formula still has some fresh angles left to explore.
Dunkirk,4,Action & Adventure | Drama,"Rves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story."
Coco,4.5,Action & Adventure | Animation | Comedy,"Rich visual pleasures are matched by a thoughtful narrative that takes a family-friendly -- and deeply affecting -- approach to questions of culture, family, life, and death."
